,sentence #,rule #,text,corrected,ranking
925,13854,155.0,"See Credit Suisse Securities (USA) LLC v. Billing, 551 U.S. 264, 273 (2007) (explaining that a ""con­ flict"" is ""clear"" where the earlier-enacted law ""forbid[s] the very thing that the [later-enacted law] had then per­ mitted""); Branch v. Smith, 538 U.S. 254, 291 (2003) (Ste­ vens, J., concurring in part and concurring in the judg­ ment) (noting that, ""[a]s a matter of plain English, the conflict between [one statute's] prohibition [against at­ large elections] and [another statute], which permitted at-","See Credit Suisse Securities (USA) LLC v. Billing, 551 U.S. 264, 273 (2007) (explaining that a ""con­ flict"" is ""clear"" where the earlier-enacted law ""forbid[s] the very thing that the [later-enacted law] had then per­ mitted""); Branch v. Smith, 538 U.S. 254, 291 (2003) (Ste­ vens, J., concurring in part and concurring in the judg­ ment) (noting that “[a]s a matter of plain English, the conflict between [one statute's] prohibition [against at­ large elections] and [another statute], which permitted at-",3
926,14096,155.0,"The court reasoned that, ""[i]nso- far as Congress was regulating debt-collector conduct, de- fining the term 'debt collector' to include a person who regularly collects debts owed to another, it had to be re- ferring to debts as they existed at the time of the conduct that is subject to regulation.""","The court reasoned that “[i]nso- far as Congress was regulating debt-collector conduct, de- fining the term 'debt collector' to include a person who regularly collects debts owed to another, it had to be re- ferring to debts as they existed at the time of the conduct that is subject to regulation.""",3
927,14100,155.0,"Petitioners had argued that, ""because [respondent] had [previously] been a debt collector with respect to their loans, it remained a debt collector after it purchased their loans,"" as though its status as a ""debt collector"" were immutable.","Petitioners had argued that “because [respondent] had [previously] been a debt collector with respect to their loans, it remained a debt collector after it purchased their loans,"" as though its status as a ""debt collector"" were immutable.",3
928,14215,155.0,"That provision states that, ""[i]f [a] person entitled to com- pensation * * * enters into a settlement with a third person"" for an amount less than the amount to which the person would be entitled under the statute, the person's employer is liable for compensation only if it gave written approval before the settlement.","That provision states that “[i]f [a] person entitled to com- pensation * * * enters into a settlement with a third person"" for an amount less than the amount to which the person would be entitled under the statute, the person's employer is liable for compensation only if it gave written approval before the settlement.",3
929,14542,155.0,"The court added that, ""even if the use of the word 'whistleblower' in the anti-retaliation provision creates uncertainty be- cause of the earlier narrow definition of the term,"" the SEC's interpretation was entitled to deference.","The court added that “even if the use of the word 'whistleblower' in the anti-retaliation provision creates uncertainty be- cause of the earlier narrow definition of the term,"" the SEC's interpretation was entitled to deference.",3
930,14825,155.0,"For example, in Lawson v. Suwannee Fruit & Steamship Co., 336 U.S. 198 (1949), the Court considered whether the def- inition of ""disability"" in the Longshoremen's and Harbor Workers' Compensation Act should apply to a provision stating that, ""[i]f an employee receives an injury which of itself would only cause permanent partial disability but which, combined with a previous disability, does in fact cause permanent total disability, the employer shall pro- vide compensation only for the disability caused by the subsequent injury.""","For example, in Lawson v. Suwannee Fruit & Steamship Co., 336 U.S. 198 (1949), the Court considered whether the def- inition of ""disability"" in the Longshoremen's and Harbor Workers' Compensation Act should apply to a provision stating that “[i]f an employee receives an injury which of itself would only cause permanent partial disability but which, combined with a previous disability, does in fact cause permanent total disability, the employer shall pro- vide compensation only for the disability caused by the subsequent injury.""",3
931,15036,155.0,"Title III provides that, ""[w]henever any wire or oral communication has been in- tercepted, no part of the contents of such communication and no evidence derived therefrom may be received in ev- idence in any trial * * * if the disclosure of that infor- mation would be in violation of this chapter.""","Title III provides that “[w]henever any wire or oral communication has been in- tercepted, no part of the contents of such communication and no evidence derived therefrom may be received in ev- idence in any trial * * * if the disclosure of that infor- mation would be in violation of this chapter.""",3
932,15054,155.0,"Each of the wiretap orders at issue stated that, ""in the event [the target telephones] are transported outside the territorial jurisdiction of the court, interception may take place in any other jurisdiction within the United States.""","Each of the wiretap orders at issue stated that “in the event [the target telephones] are transported outside the territorial jurisdiction of the court, interception may take place in any other jurisdiction within the United States.""",3
933,15265,155.0,"But it nevertheless went on to insist that, ""[d]espite this intention to extend [subpara- graph (ii)] further than [subparagraph (i)],"" there was a ""distinction between information which the government may vary by subsequent affidavit and information which must stand on the four corners of the affidavit,"" with the result that suppression is not required for ""facial insuffi- ciency relating to less critical requirements.""","But it nevertheless went on to insist that “[d]espite this intention to extend [subpara- graph (ii)] further than [subparagraph (i)],"" there was a ""distinction between information which the government may vary by subsequent affidavit and information which must stand on the four corners of the affidavit,"" with the result that suppression is not required for ""facial insuffi- ciency relating to less critical requirements.""",3
934,15357,155.0,"Taking this case as an example, the court speculated that, ""if law enforce- ment had wanted to obtain a wiretap order from a judge in Nebraska, law enforcement could use a listening post in Nebraska even though none of the underlying events or suspected co-conspirators bore any connection to Ne- braska.""","Taking this case as an example, the court speculated that “if law enforce- ment had wanted to obtain a wiretap order from a judge in Nebraska, law enforcement could use a listening post in Nebraska even though none of the underlying events or suspected co-conspirators bore any connection to Ne- braska.""",3
935,15409,155.0,"Title III states that, ""[w]henever any wire or oral communication has been intercepted, no part of the contents of such commu- nication and no evidence derived therefrom may be re- ceived in evidence in any trial * * * if the disclosure of that information would be in violation of this chapter.""","Title III states that “[w]henever any wire or oral communication has been intercepted, no part of the contents of such commu- nication and no evidence derived therefrom may be re- ceived in evidence in any trial * * * if the disclosure of that information would be in violation of this chapter.""",3
936,15824,155.0,"In a case decided after Mr. Litvak's earlier appeal, the Supreme Court clarified that, ""[u]nder any understanding of the concept, materiality looks to the effect on the likely or actual behavior of the recipient of the alleged misrepresentation.""","In a case decided after Mr. Litvak's earlier appeal, the Supreme Court clarified that “[u]nder any understanding of the concept, materiality looks to the effect on the likely or actual behavior of the recipient of the alleged misrepresentation.""",3
937,16601,155.0,"Instead, the district court instructed the jury that, ""[i]f you find infringement by any Samsung defendant","Instead, the district court instructed the jury that “[i]f you find infringement by any Samsung defendant",3
938,17138,155.0,"In any event, defendants ignore that, ""[i]f limited to the stark choice between Hunter's expert testimony and Forester's, the Court would unhesitatingly accept Hunter's"" (SPA196; see supra, at 35-37), rendering any possible concern with its independent review irrelevant.","In any event, defendants ignore that “[i]f limited to the stark choice between Hunter's expert testimony and Forester's, the Court would unhesitatingly accept Hunter's"" (SPA196; see supra, at 35-37), rendering any possible concern with its independent review irrelevant.",3
939,17528,155.0,"The Court of Appeal further held that, ""[w]hile there are some differences among the legal standards, ... the 'core' issue as","The Court of Appeal further held that “[w]hile there are some differences among the legal standards, ... the 'core' issue as",3
1078,15090,176.0,The strict enforcement of Title III's territorial-juris- diction restriction would limit the ability of law-enforce- ment officials to engage in forum shopping as a means of evading the searching judicial review of wiretap applica- tions that Congress envisioned.,The strict enforcement of Title III's territorial-juris- diction restriction would limit the ability of law-enforce- ment officials to engage in forum-shopping as a means of evading the searching judicial review of wiretap applica- tions that Congress envisioned.,3
1079,15324,176.0,"Such forum shopping would present a ""substantial"" danger by ""cir- cumvent[ing]"" the requirement of ""detached, neutral[] ju- dicial review.""","Such forum-shopping would present a ""substantial"" danger by ""cir- cumvent[ing]"" the requirement of ""detached, neutral[] ju- dicial review.""",3
1080,15347,176.0,"Finally, the court of appeals reasoned that the ter- ritorial-jurisdiction limitation does not implicate a ""core concern"" of Title III because it does not prevent forum shopping altogether: in the court's view, the government could still manipulate the system by using a ""mobile inter- ception device.""","Finally, the court of appeals reasoned that the ter- ritorial-jurisdiction limitation does not implicate a ""core concern"" of Title III because it does not prevent forum-shopping altogether: in the court's view, the government could still manipulate the system by using a ""mobile inter- ception device.""",3
1081,15358,176.0,"Even if that is theoretically true, that form of forum shopping is practically unlikely: any listening","Even if that is theoretically true, that form of forum-shopping is practically unlikely: any listening",3
1082,15364,176.0,"In any event, whether the territorial-jurisdiction limi- tations prevents forum shopping entirely, there can be no serious dispute that it limits it.","In any event, whether the territorial-jurisdiction limi- tations prevents forum-shopping entirely, there can be no serious dispute that it limits it.",3
1083,15479,176.0,"As petition- ers and their amici have explained, the requirement that a judge authorize interception only within the court's ter- ritorial jurisdiction restricts the ability of prosecutors to engage in forum shopping when applying for wiretap au- thorizations.","As petition- ers and their amici have explained, the requirement that a judge authorize interception only within the court's ter- ritorial jurisdiction restricts the ability of prosecutors to engage in forum-shopping when applying for wiretap au- thorizations.",3
1084,15480,176.0,"Limiting forum shopping, in turn, helps to ensure that ""the right of privacy of our citizens will be carefully safe- guarded by a scrupulous system of impartial court author- ized supervision.""","Limiting forum-shopping, in turn, helps to ensure that ""the right of privacy of our citizens will be carefully safe- guarded by a scrupulous system of impartial court author- ized supervision.""",3
1085,15481,176.0,"Echoing the court of appeals, the government con- tends that it can still engage in forum shopping even un- der petitioners' interpretation by using a listening post in a preferred judge's district.","Echoing the court of appeals, the government con- tends that it can still engage in forum-shopping even un- der petitioners' interpretation by using a listening post in a preferred judge's district.",3
1086,15482,176.0,"And the government does not dispute that, under its interpre- tation, there would be no effective restraint on forum shopping, because there would seemingly be no conse- quence for a violation of the territorial-jurisdiction limita- tion.","And the government does not dispute that, under its interpre- tation, there would be no effective restraint on forum-shopping, because there would seemingly be no conse- quence for a violation of the territorial-jurisdiction limita- tion.",3
1199,17659,222.0,"1   Defendants' appeal does not challenge the district court's rulings that: (i) Nomura Holding, NCCI, Findlay, Graham, Gorin, LaRocca, and McCarthy are liable as control persons (SPA299-322, 352-55); (ii) principal and interest payments received on the certificates are considered only after pre-judgment interest is calculated (SPA511-13, 263-64, 322-27, 351-52, 362-68); (iii) the presumption of reliance under Section 12 and the Blue Sky laws is not rebuttable (SPA532-39); (iv) the application of the Blue Sky laws does not violate the dormant commerce clause (SPA359-60); and (v) $806 million is the measure of damages.","1   Defendants' appeal does not challenge the district court's rulings that: (i) Nomura Holding, NCCI, Findlay, Graham, Gorin, LaRocca, and McCarthy are liable as control persons (SPA299-322, 352-55); (ii) principal and interest payments received on the certificates are considered only after prejudgment interest is calculated (SPA511-13, 263-64, 322-27, 351-52, 362-68); (iii) the presumption of reliance under Section 12 and the Blue Sky laws is not rebuttable (SPA532-39); (iv) the application of the Blue Sky laws does not violate the dormant commerce clause (SPA359-60); and (v) $806 million is the measure of damages.",3
1219,17350,224.0,"That ruling was well within the district court's ""broad discretion to direct and manage the pre-trial discovery process.""","That ruling was well within the district court's ""broad discretion to direct and manage the pretrial discovery process.""",3
1220,17696,224.0,The court's pre-trial ruling related to different charts.,The court's pretrial ruling related to different charts.,3
1458,14081,245.0,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case as to the other.,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case about the other.,"1 - The revision changes the meaning of the sentence. ""Stayed the case as to the other"" means the case was paused or temporarily stopped for the other debt collector, not that it was ""about"" the other debt collector."
1459,14082,245.0,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case as to the other.,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case for the other.,3
1460,14083,245.0,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case as to the other.,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case on the other.,"1 - The revision changes the meaning of the sentence. ""Stayed the case as to the other"" means the case was paused or postponed for the other debt collector, while ""stayed the case on the other"" implies the case was dependent on the other debt collector."
1461,14084,245.0,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case as to the other.,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case of the other.,"1 - The revision changes the meaning of the sentence by using ""case of the other"" instead of ""case as to the other"". The original sentence is more accurate."
1462,14085,245.0,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case as to the other.,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case in the other.,"1 - The revision changes the meaning of the sentence, making it less clear. The phrase ""stayed the case as to the other"" means the case was paused regarding the other debt collector, while ""stayed the case in the other"" is unclear."
1463,15010,245.0,"Moreover, because wiretapping was intended to be a method of last resort, the application must provide a ""full and complete statement as to whether or not other investigative procedures have been tried and failed or why they reasonably appear to be unlikely to succeed if tried or to be too dangerous.""","Moreover, because wiretapping was intended to be a method of last resort, the application must provide a ""full and complete statement about whether or not other investigative procedures have been tried and failed or why they reasonably appear to be unlikely to succeed if tried or to be too dangerous.""",3
1464,15011,245.0,"Moreover, because wiretapping was intended to be a method of last resort, the application must provide a ""full and complete statement as to whether or not other investigative procedures have been tried and failed or why they reasonably appear to be unlikely to succeed if tried or to be too dangerous.""","Moreover, because wiretapping was intended to be a method of last resort, the application must provide a ""full and complete statement for whether or not other investigative procedures have been tried and failed or why they reasonably appear to be unlikely to succeed if tried or to be too dangerous.""",3
1465,15012,245.0,"Moreover, because wiretapping was intended to be a method of last resort, the application must provide a ""full and complete statement as to whether or not other investigative procedures have been tried and failed or why they reasonably appear to be unlikely to succeed if tried or to be too dangerous.""","Moreover, because wiretapping was intended to be a method of last resort, the application must provide a ""full and complete statement on whether or not other investigative procedures have been tried and failed or why they reasonably appear to be unlikely to succeed if tried or to be too dangerous.""",3
1466,15013,245.0,"Moreover, because wiretapping was intended to be a method of last resort, the application must provide a ""full and complete statement as to whether or not other investigative procedures have been tried and failed or why they reasonably appear to be unlikely to succeed if tried or to be too dangerous.""","Moreover, because wiretapping was intended to be a method of last resort, the application must provide a ""full and complete statement of whether or not other investigative procedures have been tried and failed or why they reasonably appear to be unlikely to succeed if tried or to be too dangerous.""",3
1467,15014,245.0,"Moreover, because wiretapping was intended to be a method of last resort, the application must provide a ""full and complete statement as to whether or not other investigative procedures have been tried and failed or why they reasonably appear to be unlikely to succeed if tried or to be too dangerous.""","Moreover, because wiretapping was intended to be a method of last resort, the application must provide a ""full and complete statement in whether or not other investigative procedures have been tried and failed or why they reasonably appear to be unlikely to succeed if tried or to be too dangerous.""","1 - The revision changes ""as to"" to ""in"" which makes the sentence less clear and grammatically incorrect."
1468,17266,245.0,"But this begs the question as to whether the loan defects defendants concealed through their misrepresentations made the GSEs' certificates ""more disposed"" to suffer harm during a ""catastrophic","But this begs the question about whether the loan defects defendants concealed through their misrepresentations made the GSEs' certificates ""more disposed"" to suffer harm during a ""catastrophic",4
1469,17267,245.0,"But this begs the question as to whether the loan defects defendants concealed through their misrepresentations made the GSEs' certificates ""more disposed"" to suffer harm during a ""catastrophic","But this begs the question for whether the loan defects defendants concealed through their misrepresentations made the GSEs' certificates ""more disposed"" to suffer harm during a ""catastrophic","2 - The revision introduces a grammatical error by replacing ""as to"" with ""for"". The original sentence is more accurate."
1470,17268,245.0,"But this begs the question as to whether the loan defects defendants concealed through their misrepresentations made the GSEs' certificates ""more disposed"" to suffer harm during a ""catastrophic","But this begs the question on whether the loan defects defendants concealed through their misrepresentations made the GSEs' certificates ""more disposed"" to suffer harm during a ""catastrophic",3
1471,17269,245.0,"But this begs the question as to whether the loan defects defendants concealed through their misrepresentations made the GSEs' certificates ""more disposed"" to suffer harm during a ""catastrophic","But this begs the question of whether the loan defects defendants concealed through their misrepresentations made the GSEs' certificates ""more disposed"" to suffer harm during a ""catastrophic",4
1472,17270,245.0,"But this begs the question as to whether the loan defects defendants concealed through their misrepresentations made the GSEs' certificates ""more disposed"" to suffer harm during a ""catastrophic","But this begs the question in whether the loan defects defendants concealed through their misrepresentations made the GSEs' certificates ""more disposed"" to suffer harm during a ""catastrophic",2
1980,13667,265.0,"Consistent with the requirements the Advisory Commit­ tee actually adopted in the Bankruptcy Rules, the proof­ of-claim form did not ask petitioner to express its view as to whether the claim was subject to a limitations defense, but instead merely required petitioner to make certain factual disclosures so as to enable parties in interest to as­ sess the claim's timeliness.","Consistent with the requirements the Advisory Commit­ tee actually adopted in the Bankruptcy Rules, the proof­ of-claim form did not ask petitioner to express its view on whether the claim was subject to a limitations defense, but instead merely required petitioner to make certain factual disclosures so as to enable parties in interest to as­ sess the claim's timeliness.",3
1981,13668,265.0,"Consistent with the requirements the Advisory Commit­ tee actually adopted in the Bankruptcy Rules, the proof­ of-claim form did not ask petitioner to express its view as to whether the claim was subject to a limitations defense, but instead merely required petitioner to make certain factual disclosures so as to enable parties in interest to as­ sess the claim's timeliness.","Consistent with the requirements the Advisory Commit­ tee actually adopted in the Bankruptcy Rules, the proof­ of-claim form did not ask petitioner to express its view about whether the claim was subject to a limitations defense, but instead merely required petitioner to make certain factual disclosures so as to enable parties in interest to as­ sess the claim's timeliness.",3
1982,13669,265.0,"Consistent with the requirements the Advisory Commit­ tee actually adopted in the Bankruptcy Rules, the proof­ of-claim form did not ask petitioner to express its view as to whether the claim was subject to a limitations defense, but instead merely required petitioner to make certain factual disclosures so as to enable parties in interest to as­ sess the claim's timeliness.","Consistent with the requirements the Advisory Commit­ tee actually adopted in the Bankruptcy Rules, the proof­ of-claim form did not ask petitioner to express its view to whether the claim was subject to a limitations defense, but instead merely required petitioner to make certain factual disclosures so as to enable parties in interest to as­ sess the claim's timeliness.",3
1983,13670,265.0,"Consistent with the requirements the Advisory Commit­ tee actually adopted in the Bankruptcy Rules, the proof­ of-claim form did not ask petitioner to express its view as to whether the claim was subject to a limitations defense, but instead merely required petitioner to make certain factual disclosures so as to enable parties in interest to as­ sess the claim's timeliness.","Consistent with the requirements the Advisory Commit­ tee actually adopted in the Bankruptcy Rules, the proof­ of-claim form did not ask petitioner to express its view for whether the claim was subject to a limitations defense, but instead merely required petitioner to make certain factual disclosures so as to enable parties in interest to as­ sess the claim's timeliness.",3
1984,13671,265.0,"Consistent with the requirements the Advisory Commit­ tee actually adopted in the Bankruptcy Rules, the proof­ of-claim form did not ask petitioner to express its view as to whether the claim was subject to a limitations defense, but instead merely required petitioner to make certain factual disclosures so as to enable parties in interest to as­ sess the claim's timeliness.","Consistent with the requirements the Advisory Commit­ tee actually adopted in the Bankruptcy Rules, the proof­ of-claim form did not ask petitioner to express its view in whether the claim was subject to a limitations defense, but instead merely required petitioner to make certain factual disclosures so as to enable parties in interest to as­ sess the claim's timeliness.","1 - The revision made the sentence less clear by changing ""as to whether"" to ""in whether"", which is grammatically incorrect."
1985,14086,265.0,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case as to the other.,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case on the other.,"1 - The revision changes the meaning of the sentence. ""Stayed the case as to the other"" means the case was paused or postponed for the other debt collector, while ""stayed the case on the other"" implies the case was based on the other debt collector."
1986,14087,265.0,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case as to the other.,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case about the other.,"1 - The revision changes the meaning of the sentence. ""Stayed the case as to the other"" means the case was paused or temporarily stopped for the other debt collector, not that it was ""about"" the other debt collector."
1987,14088,265.0,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case as to the other.,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case to the other.,"1 - The revision changes the meaning of the sentence by using ""to"" instead of ""as to"", which is less accurate."
1988,14089,265.0,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case as to the other.,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case for the other.,3
1989,14090,265.0,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case as to the other.,2 The third-party debt collectors also moved to dismiss the com- plaint; the district court granted the motion as to one of the debt col- lectors and stayed the case in the other.,"1 - The revision changes the meaning of the sentence, making it less clear. The phrase ""stayed the case as to the other"" means the case was paused regarding the other debt collector, while ""stayed the case in the other"" is unclear."
1990,14138,265.0,That profoundly atextual interpretation rests on purported anomalies that would result from the more natural interpretation and on petitioners' policy views as to how Congress should have written the FDCPA.,That profoundly atextual interpretation rests on purported anomalies that would result from the more natural interpretation and on petitioners' policy views on how Congress should have written the FDCPA.,3
1991,14139,265.0,That profoundly atextual interpretation rests on purported anomalies that would result from the more natural interpretation and on petitioners' policy views as to how Congress should have written the FDCPA.,That profoundly atextual interpretation rests on purported anomalies that would result from the more natural interpretation and on petitioners' policy views about how Congress should have written the FDCPA.,3
1992,14140,265.0,That profoundly atextual interpretation rests on purported anomalies that would result from the more natural interpretation and on petitioners' policy views as to how Congress should have written the FDCPA.,That profoundly atextual interpretation rests on purported anomalies that would result from the more natural interpretation and on petitioners' policy views to how Congress should have written the FDCPA.,1 - The revision made the sentence grammatically incorrect.
1993,14141,265.0,That profoundly atextual interpretation rests on purported anomalies that would result from the more natural interpretation and on petitioners' policy views as to how Congress should have written the FDCPA.,That profoundly atextual interpretation rests on purported anomalies that would result from the more natural interpretation and on petitioners' policy views for how Congress should have written the FDCPA.,3
1994,14142,265.0,That profoundly atextual interpretation rests on purported anomalies that would result from the more natural interpretation and on petitioners' policy views as to how Congress should have written the FDCPA.,That profoundly atextual interpretation rests on purported anomalies that would result from the more natural interpretation and on petitioners' policy views in how Congress should have written the FDCPA.,3
1995,16968,265.0,"The falsity findings as to compliance with underwriting guidelines arose from the fact that each of the ProSupps stated that the underlying loans ""were originated generally in accordance with the underwriting criteria described in this section.""","The falsity findings on compliance with underwriting guidelines arose from the fact that each of the ProSupps stated that the underlying loans ""were originated generally in accordance with the underwriting criteria described in this section.""",4
1996,16969,265.0,"The falsity findings as to compliance with underwriting guidelines arose from the fact that each of the ProSupps stated that the underlying loans ""were originated generally in accordance with the underwriting criteria described in this section.""","The falsity findings about compliance with underwriting guidelines arose from the fact that each of the ProSupps stated that the underlying loans ""were originated generally in accordance with the underwriting criteria described in this section.""",3
1997,16970,265.0,"The falsity findings as to compliance with underwriting guidelines arose from the fact that each of the ProSupps stated that the underlying loans ""were originated generally in accordance with the underwriting criteria described in this section.""","The falsity findings to compliance with underwriting guidelines arose from the fact that each of the ProSupps stated that the underlying loans ""were originated generally in accordance with the underwriting criteria described in this section.""","1 - The revision made the sentence less clear by changing ""as to"" to ""to"", which alters the meaning and makes it grammatically incorrect."
1998,16971,265.0,"The falsity findings as to compliance with underwriting guidelines arose from the fact that each of the ProSupps stated that the underlying loans ""were originated generally in accordance with the underwriting criteria described in this section.""","The falsity findings for compliance with underwriting guidelines arose from the fact that each of the ProSupps stated that the underlying loans ""were originated generally in accordance with the underwriting criteria described in this section.""",4
1999,16972,265.0,"The falsity findings as to compliance with underwriting guidelines arose from the fact that each of the ProSupps stated that the underlying loans ""were originated generally in accordance with the underwriting criteria described in this section.""","The falsity findings in compliance with underwriting guidelines arose from the fact that each of the ProSupps stated that the underlying loans ""were originated generally in accordance with the underwriting criteria described in this section.""",3
2000,16973,265.0,The falsity findings as to LTVs/CLTVs arose from the fact that the,The falsity findings on LTVs/CLTVs arose from the fact that the,4
2001,16974,265.0,The falsity findings as to LTVs/CLTVs arose from the fact that the,The falsity findings about LTVs/CLTVs arose from the fact that the,3
