,Output,Corrections on Output,,,
(a/the) great/large fraction (of),( a the ~ ) ( significant substantial ) portion ( of ~ ),,,
(a/the) high degree (of),( a the ~ ) ( significant substantial ) proportion ( of ~ ),,,
(a/the) high level (of),( a the ~ ) ( significant substantial ) quantity ( of ~ ),,,
(a/the) high number (of),arrive at ( an the ~ ) accord ( about as to concerning of on regarding ),,,
(a/the) high percentage (of),arrive at ( an the ~ ) agreement ( about as to concerning of on regarding ),,,
(a/the) high proportion (of),arrive at ( a the ~ ) compromise ( about as to concerning of on regarding ),,,
in big/great/high/huge/large/overwhelming/sizable/vast,arrive at ( a the ~ ) resolution ( about as to concerning of on regarding ),,,
numbers,arrive at ( a the ~ ) settlement ( about as to concerning of on regarding ),,,
in great/large quantities,arrive at ( an the ~ ) understanding ( about as to concerning of on regarding ),,,
(a/the) large/overwhelming/sizable/vast plurality (of),come to a the compromise ( about as to concerning of on regarding ),,,
(a/the) major part/percentage/portion/proportion (of),come to an accord ( about as to concerning of on regarding ),,,
(a/the) multiplicity of,come to an agreement ( about as to concerning of on regarding ),,,
(a/the) multitude of,come to an the understanding,,,
multitudinous,come to a the resolution ( about as to concerning of on regarding ),,,
(a/the) overwhelming/vast preponderance (of),come to a the settlement ( about as to concerning of on regarding ),,,
(a/the) significant/substantial amount (of),come to terms ( about as to concerning of on regarding ) enter into an agreement contract,,,
(a/the) significant/substantial element (of),reach ( an the ~ ) accord ( about of on upon with ),,,
(a/the) significant/substantial fraction (of),reach ( an the ~ ) agreement ( about of on upon with ),,,
(a/the) significant/substantial majority (of),reach ( a the ~ ) compromise ( about of on upon with ),,,
(a/the) significant/substantial number (of),reach ( a the ~ ) resolution ( about of on upon with ),,,
(a/the) significant/substantial part (of),reach ( a the ~ ) settlement ( about of on upon with ),,,
(a/the) significant/substantial percentage (of),reach ( an the ~ ) understanding ( about of on upon with ),,,
(a/the) significant/substantial portion (of),respond in the affirmative,,,
(a/the) significant/substantial proportion (of),contractual agreement,,,
(a/the) significant/substantial quantity (of),joint agreement,,,
arrive at (an/the) accord (about/as to/concerning/of/on/,mutual agreement mutually agree,,,
regarding),is in agreement ( on with ),,,
arrive at (an/the) agreement (about/as to/concerning/of/,is coherent with,,,
on/regarding),is compatible with,,,
arrive at (a/the) compromise (about/as to/concerning/of/,is consistent with,,,
on/regarding),is in accord accordance on with,,,
arrive at (a/the) resolution (about/as to/concerning/of/on/,is in concurrence with,,,
regarding),is in conformance to with,,,
arrive at (a/the) settlement (about/as to/concerning/of/ on/regarding),is in conformity to with,,,
arrive at (an/the) understanding (about/as to/concerning/ of/on/regarding),is in harmony with,,,
come to a/the compromise (about/as to/concerning/of/ on/regarding),is in keeping with,,,
come to an accord (about/as to/concerning/of/on/ regarding),is in line with,,,
come to an agreement (about/as to/concerning/of/on/,is in step with,,,
regarding),is of the same opinion ( as ),,,
come to an/the understanding,go along with,,,
come to a/the resolution (about/as to/concerning/of/on/,voice approval of,,,
regarding),voice support for,,,
come to a/the settlement (about/as to/concerning/of/on/,( a the ~ ) minimal number ( of ~ ),,,
regarding),( a the ~ ) minority ( of ~ ),,,
come to terms (about/as to/concerning/of/on/regarding) enter into an agreement/contract,( a the ~ ) ( small tiny ) amount degree part percentage portion proportion quantity ( of ~ ),,,
reach (an/the) accord (about/of/on/upon/with),( a the ~ ) ( small tiny ) fraction ( of ~ ),,,
reach (an/the) agreement (about/of/on/upon/with),( a the ~ ) ( small tiny ) minority ( of ~ ),,,
reach (a/the) compromise (about/of/on/upon/with),in advance of,,,
reach (a/the) resolution (about/of/on/upon/with),aid and abet,,,
reach (a/the) settlement (about/of/on/upon/with),assistance,,,
reach (an/the) understanding (about/of/on/upon/with),render assistance to,,,
respond in the affirmative,AIDS syndrome,,,
contractual agreement,is advantageous for ( to ),,,
joint agreement,is beneficial to,,,
mutual agreement/mutually agree,is favorable to,,,
 is in agreement (on/with),is of benefit to,,,
is coherent with,is helpful in ( -ing ),,,
is compatible with,is instrumental in ( -ing ),,,
is consistent with,is instrumental in helping,,,
is in accord/accordance on/with,is of assistance in ( -ing ),,,
is in concurrence with,take aim,,,
is in conformance to/with,( the ~ ) whys and ( the ~ ) wherefores ( of ~ ),,,
is in conformity to/with,( the ~ ) hows and ( the ~ ) whys,,,
is in harmony with,along the lines of,,,
is in keeping with,in the nature of,,,
is in line with,on the order of,,,
is in step with,along the same line,,,
is of the same opinion (as),both SKIP3 alike,,,
go along with,in a the fashion manner way characteristic of,,,
voice approval of,in a the fashion manner way similar to,,,
voice support for,in a similar fashion manner way ( to ),,,
(a/the) minimal number (of),( a ) little bit,,,
(a/the) minority (of),all and sundry,,,
(a/the) small/tiny amount/degree/part/percentage/,all SKIP3 long,,,
portion/proportion/quantity (of),any and all,,,
(a/the) small/tiny fraction (of),anybody ( anyone ) and everybody ( everyone ),,,
(a/the) small/tiny minority (of),anything and everything,,,
in advance of,each and every ( one ),,,
aid and abet,every single ( solitary ),,,
assistance,in ( almost ) all every cases circumstances instances situations( in each every case circumstance instance situation ),,,
render assistance to,on ( each every ) occasion,,,
AIDS syndrome,one and all,,,
is advantageous for (to),the sum of,,,
is beneficial to,the total ( of ~ ),,,
is favorable to,the totality of,,,
is of benefit to,without exception,,,
is helpful in (-ing),all of ( us ~ ),,,
is instrumental in (-ing),in ( its their ) entirety,,,
is instrumental in helping,all of ( the ~ ),,,
is of assistance in (-ing),unproved allegation,,,
take aim,according to,,,
(the) whys and (the) wherefores (of),all things considered,,,
(the) hows and (the) whys,at the end of the day,,,
along the lines of,in ( the final last ) analysis,,,
in the nature of,in ( the overall scope sphere ) of things,,,
on the order of,when all is said and done,,,
along the same line,when ( it you ) comes gets right down to it,,,
both SKIP3 alike,present everywhere,,,
in a/the fashion/manner/way characteristic of,afford ( give offer present provide ~ ) SKIP3 ( an the ~ ),,,
in a/the fashion/manner/way similar to,opportunity ( to ~ ),,,
in a similar fashion/manner/way (to),allow of,,,
(a) little bit,make allowance for,,,
all and sundry,make concession for,,,
all SKIP3 long,make provision for,,,
any and all,take account for of,,,
anybody (anyone) and everybody (everyone),take into account,,,
anything and everything,take into consideration,,,
each and every (one),( all fine good and good well ),,,
every single (solitary),( all well and fine good ),,,
in (almost) all/every cases/circumstances/instances/,be that as it may,,,
situations,but ( all just ) the same,,,
in each/every case/circumstance/instance/situation,in any case event,,,
on each/every occasion,anything and everything,,,
one and all,extensively throughout,,,
the sum of,from beginning to end,,,
the total (of),from start to finish,,,
the totality of,through and through,,,
without exception,throughout the length and breadth ( of ~ ),,,
all of (us),all in all,,,
in its/their entirety,all things considered,,,
all of (the),at the end of the day,,,
unproved allegation,in ( the final last ) analysis,,,
according to,in ( the overall scope sphere ) of things,,,
all things considered,on the whole,,,
at the end of the day,when all is said and done,,,
in the final/last analysis,when ( it you ) comes gets right down to it,,,
in the overall scope/sphere of things,bring together,,,
when all is said and done,almost without exception,,,
when it/you comes/gets right down to it,as a general rule,,,
present everywhere,as a rule,,,
afford (give/offer/present/provide) SKIP3 (an/the),( the ~ ) better part ( of ~ ),,,
opportunity (to),( the ~ ) bulk ( of ~ ),,,
allow of,for the most part,,,
make allowance for,( a the ~ ) high number ( of ~ ),,,
make concession for,in ( almost ) ( all every ) cases circumstances instances situations,,,
make provision for,in ( big great high huge large overwhelming sizable vast ) numbers,,,
take account for/of,in ( great large ) measure,,,
take into account,in ( great large ) part,,,
take into consideration,in ( great large ) quantities,,,
(all) fine/good and good/well,in ( many most ) cases,,,
(all) well and fine/good,in ( many most ) circumstances,,,
be that as it may,in ( many most ) instances,,,
but all/just the same,in ( many most ) situations,,,
in any case/event,in no small measure,,,
anything and everything,in no small part,,,
extensively throughout,in the main,,,
from beginning to end,just about,,,
 from start to finish,( the ~ ) lion's share,,,
through and through,most but not all,,,
throughout the length and breadth (of),( a a fair any ~ ) number ( of ~ ),,,
all in all,on upon the whole,,,
all things considered,predominant predominantly,,,
at the end of the day,primary primarily,,,
in the final/last analysis,principal principally,,,
in the overall scope/sphere of things,to a ( great large ) degree,,,
on the whole,to a ( great large ) extent,,,
when all is said and done,with ( few rare ) exception(s),,,
when it/you comes/gets right down to it,( a the ~ ) ( considerable good great huge large sizable vast ) amount ( of ~ ),,,
bring together,( a the ~ ) ( considerable good great huge large overwhelming sizable vast wide ) majority ( of ~ ),,,
almost without exception,( a the ~ ) ( considerable good great huge large overwhelming sizable vast ) number ( of ~ ),,,
as a general rule,( a the ~ ) ( considerable good great huge large sizable vast ) part ( of ~ ),,,
as a rule,( a the ~ ) ( considerable good great huge large overwhelming sizable vast ) percentage ( of ~ ),,,
(the) better part (of),( a the ~ ) ( considerable good great huge large sizable vast ) portion ( of ~ ),,,
(the) bulk (of),( a the ~ ) ( considerable good great huge large sizable vast ) proportion ( of ~ ),,,
for the most part,( a the ~ ) ( considerable good great huge large sizable vast ) quantity ( of ~ ),,,
(a/the) high number (of),( a the ~ ) ( great large ) fraction ( of ~ ),,,
in (almost) all/every cases/circumstances/instances/,( a the ~ ) high percentage ( of ~ ),,,
situations,( a the ~ ) high proportion ( of ~ ),,,
in big/great/high/huge/large/overwhelming/sizable/vast,( a the ~ ) ( large overwhelming sizable vast ) plurality ( of ~ ),,,
